Time(UTC),Symbol,Funding Rate
2023-03-15 08:00:00+00:00,BTCUSD,0.0001
2023-03-15 00:00:00+00:00,BTCUSD,0.0001
2023-03-14 16:00:00+00:00,BTCUSD,0.0001
2023-03-14 08:00:00+00:00,BTCUSD,-0.00079855
2023-03-14 00:00:00+00:00,BTCUSD,0.0001
2023-03-13 16:00:00+00:00,BTCUSD,-0.00029201
2023-03-13 08:00:00+00:00,BTCUSD,0.0001
2023-03-13 00:00:00+00:00,BTCUSD,-0.00089672
2023-03-12 16:00:00+00:00,BTCUSD,-0.00081491
2023-03-12 08:00:00+00:00,BTCUSD,-0.00141305
2023-03-12 00:00:00+00:00,BTCUSD,-0.00079098
2023-03-11 16:00:00+00:00,BTCUSD,-0.00021725
2023-03-11 08:00:00+00:00,BTCUSD,-0.00031119
2023-03-11 00:00:00+00:00,BTCUSD,-0.00031418
2023-03-10 16:00:00+00:00,BTCUSD,-8.852e-05
2023-03-10 08:00:00+00:00,BTCUSD,-0.00016653
2023-03-10 00:00:00+00:00,BTCUSD,-0.00011459
2023-03-09 16:00:00+00:00,BTCUSD,0.0001
2023-03-09 08:00:00+00:00,BTCUSD,6.7e-07
2023-03-09 00:00:00+00:00,BTCUSD,0.0001
2023-03-08 16:00:00+00:00,BTCUSD,0.0001
2023-03-08 08:00:00+00:00,BTCUSD,6.048e-05
2023-03-08 00:00:00+00:00,BTCUSD,0.0001
2023-03-07 16:00:00+00:00,BTCUSD,0.0001
2023-03-07 08:00:00+00:00,BTCUSD,0.0001
2023-03-07 00:00:00+00:00,BTCUSD,0.0001
2023-03-06 16:00:00+00:00,BTCUSD,7.317e-05
2023-03-06 08:00:00+00:00,BTCUSD,-0.00010084
2023-03-06 00:00:00+00:00,BTCUSD,-0.00014301
2023-03-05 16:00:00+00:00,BTCUSD,0.0001
2023-03-05 08:00:00+00:00,BTCUSD,0.0001
2023-03-05 00:00:00+00:00,BTCUSD,0.0001
2023-03-04 16:00:00+00:00,BTCUSD,0.0001
2023-03-04 08:00:00+00:00,BTCUSD,0.0001
2023-03-04 00:00:00+00:00,BTCUSD,5.215e-05
2023-03-03 16:00:00+00:00,BTCUSD,0.0001
2023-03-03 08:00:00+00:00,BTCUSD,-8.187e-05
2023-03-03 00:00:00+00:00,BTCUSD,0.0001
2023-03-02 16:00:00+00:00,BTCUSD,0.0001
2023-03-02 08:00:00+00:00,BTCUSD,0.0001
2023-03-02 00:00:00+00:00,BTCUSD,0.0001
2023-03-01 16:00:00+00:00,BTCUSD,0.0001
2023-03-01 08:00:00+00:00,BTCUSD,0.0001
2023-03-01 00:00:00+00:00,BTCUSD,1.987e-05
2023-02-28 16:00:00+00:00,BTCUSD,0.0001
2023-02-28 08:00:00+00:00,BTCUSD,0.0001
2023-02-28 00:00:00+00:00,BTCUSD,0.0001
2023-02-27 16:00:00+00:00,BTCUSD,0.0001
2023-02-27 08:00:00+00:00,BTCUSD,0.0001
2023-02-27 00:00:00+00:00,BTCUSD,0.0001
2023-02-26 16:00:00+00:00,BTCUSD,0.0001
2023-02-26 08:00:00+00:00,BTCUSD,0.0001
2023-02-26 00:00:00+00:00,BTCUSD,0.0001
2023-02-25 16:00:00+00:00,BTCUSD,0.0001
2023-02-25 08:00:00+00:00,BTCUSD,0.0001
2023-02-25 00:00:00+00:00,BTCUSD,0.0001
2023-02-24 16:00:00+00:00,BTCUSD,0.0001
2023-02-24 08:00:00+00:00,BTCUSD,0.0001
2023-02-24 00:00:00+00:00,BTCUSD,0.0001
2023-02-23 16:00:00+00:00,BTCUSD,0.0001
2023-02-23 08:00:00+00:00,BTCUSD,0.0001
2023-02-23 00:00:00+00:00,BTCUSD,0.0001
2023-02-22 16:00:00+00:00,BTCUSD,0.0001
2023-02-22 08:00:00+00:00,BTCUSD,0.0001
2023-02-22 00:00:00+00:00,BTCUSD,0.0001
2023-02-21 16:00:00+00:00,BTCUSD,0.0001
2023-02-21 08:00:00+00:00,BTCUSD,0.0001
2023-02-21 00:00:00+00:00,BTCUSD,0.00024809
2023-02-20 16:00:00+00:00,BTCUSD,0.0001
2023-02-20 08:00:00+00:00,BTCUSD,0.0001
2023-02-20 00:00:00+00:00,BTCUSD,0.0001
2023-02-19 16:00:00+00:00,BTCUSD,0.0001
2023-02-19 08:00:00+00:00,BTCUSD,0.0001
2023-02-19 00:00:00+00:00,BTCUSD,0.0001
2023-02-18 16:00:00+00:00,BTCUSD,0.0001
2023-02-18 08:00:00+00:00,BTCUSD,0.0001
2023-02-18 00:00:00+00:00,BTCUSD,0.0001
2023-02-17 16:00:00+00:00,BTCUSD,0.0001
2023-02-17 08:00:00+00:00,BTCUSD,0.0001
2023-02-17 00:00:00+00:00,BTCUSD,0.00024556
2023-02-16 16:00:00+00:00,BTCUSD,0.0002048
2023-02-16 08:00:00+00:00,BTCUSD,0.0001
2023-02-16 00:00:00+00:00,BTCUSD,0.0001
2023-02-15 16:00:00+00:00,BTCUSD,5.341e-05
2023-02-15 08:00:00+00:00,BTCUSD,0.0001
2023-02-15 00:00:00+00:00,BTCUSD,0.0001
2023-02-14 16:00:00+00:00,BTCUSD,0.0001
2023-02-14 08:00:00+00:00,BTCUSD,5.04e-05
2023-02-14 00:00:00+00:00,BTCUSD,0.0001
